"code","name","sector","section","has_item","reg_day","code","reg_day","open","high","low","close","change_price","change_rate","volume","margin_rate","volume_retail","volume_insti","volume_foreign","volume_program","foreign_rate","volume_short","cap"
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-26,765,770,755,755,-10,-1.31,376853,4.99,11790,0,-23580,0,0.24,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-25,765,780,755,765,-5,-0.65,561042,5.11,20406,0,-40812,0,0.26,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-24,785,795,770,770,-15,-1.91,439622,5.26,35712,0,-71424,0,0.31,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-23,780,790,770,785,5,0.64,534939,5.21,-35014,0,77028,0,0.38,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-20,760,785,760,780,20,2.63,621805,5.42,-96776,0,201614,0,0.3,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-19,760,770,760,760,0,0.0,483259,5.42,-6235,0,12470,0,0.08,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-18,760,765,750,760,5,0.66,368750,5.35,-28221,0,56442,0,0.07,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-17,760,780,745,755,-5,-0.66,1067428,5.45,-2744,0,5488,0,0.01,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-16,760,775,750,760,0,0.0,607986,5.75,0,0,0,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-13,750,810,750,760,10,1.33,2927698,5.68,10410,0,-20820,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-12,780,800,750,750,-35,-4.46,1056991,5.62,12681,0,-25362,0,0.02,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-11,735,815,735,785,45,6.08,4092522,5.56,29518,0,-58036,0,0.05,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-10,740,750,730,740,0,0.0,466749,5.81,-1000,0,1000,0,0.12,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-09,740,750,730,740,0,0.0,809465,5.88,0,0,0,0,0.11,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-06,750,750,730,740,0,0.0,414659,5.41,3963,0,-7926,0,0.11,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-05,725,750,715,740,20,2.78,1083024,5.5,-55572,0,111144,0,0.12,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-04,725,730,715,720,-5,-0.69,527826,5.54,0,0,0,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-03,730,730,715,725,5,0.69,558464,5.38,5913,0,-11826,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-11-02,740,740,715,720,-25,-3.36,847858,5.62,12963,0,-25926,0,0.01,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-30,745,765,730,745,15,2.05,1299107,5.88,-11649,0,23298,0,0.04,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-29,760,765,715,730,-45,-5.81,1327873,5.99,-7168,0,14336,0,0.02,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-28,800,805,765,775,-25,-3.13,1036324,5.37,57703,0,-130468,0,0.0,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-27,805,825,785,800,0,0.0,2900155,5.09,-15336,0,30712,0,0.14,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-10-26,780,815,780,800,30,3.9,1903565,5.32,-31190,0,62380,0,0.11,0,0
